Periode;Soort uitgaven;Algemene categorie;Specifieke categorie;College/Collegelid;Omschrijving;Bedrag
Het grootboek bevat hoofdzakelijk positieve, maar ook negatieve bedragen. Positieve bedragen zijn uitgaven, negatieve bedragen zijn ontvangsten of correcties op uitgaven zoals creditnota´s. De meeste ontvangsten betreffen inkomsten voor extern gefinancierde projecten. De Algemene Rekenkamer voert projecten en activiteiten in het buitenland uit, die vaak extern gefinancierd zijn. Meer informatie hierover vindt u in ons verslag (http://www.rekenkamer.nl/Over_de_Algemene_Rekenkamer/Jaarverslagen).;;;;;;
;;;;;;
Rijksbrede kostensoorttabel;;;;;;
In dit document hebben we voor iedere transactie aangegeven wat voor soort uitgaven of inkomsten het betreft door deze toe wijzen aan een hoofdcategorie en twee onderliggende subcategorieën. De door ons gehanteerde transactiecategorieën zijn nagenoeg volledig gebaseerd op de Rijksbrede kostensoorttabel (http://www.rbv.minfin.nl/2013/begrippenlijst/rijksbrede-kostensoortentabel) die door het ministerie van Financiën is opgesteld, omdat wij graag aansluiten bij rijksbrede kaders. We streven er naar dat ons grootboek voor iedereen bruikbaar en begrijpelijk is, ook voor niet-financiële professionals en daarom wijkt de formulering van enkele categorieën enigszins af van die in de Rijksbrede kostensoorttabel. Bijvoorbeeld: “Personele uitgaven” in plaats van “Apparaat personeel”.;;;;;;
Voor een toelichting van de verschillende transactiecategorieën verwijzen we naar de Rijksbrede kostensoorttabel. De drie niveaus van transactiecategorieën in ons grootboek zijn op de volgende wijze te relateren aan de Rijksbrede kostensoorten:;;;;;;
* Soort uitgaven. Dit is het hoogste niveau van de transactiecategorieën en dit komt overeen met de categorieën van het gelijknamige niveau “Soort uitgaven” uit de Rijksbrede kostensoorttabel. Hieronder vallen ook de ontvangsten van de rekenkamer (zie toelichting onder positieve en negatieve bedragen).;;;;;;
* Algemene categorie. Deze kostencategorieën zijn een niveau specifieker dan “Soort uitgaven”. Dit niveau komt overeen met de categorieën van het niveau “Apparaatsartikel” uit de Rijksbrede kostensoorttabel. In de Rijksbrede kostensoorttabel zijn op dit niveau enkele lege categorieën te vinden. Voor deze lege categorieën maken we daarom gebruik van de meer specifieke categorie “Hoofdrubriek” uit de Rijksbrede kostensoortentabel.;;;;;;
* Specifieke categorie. Zoals de naam van al doet vermoeden betreft dit het meest specifieke niveau van kostencategorieën. Dit niveau is gelijk aan de categorie “Hoofdrubriek” uit de Rijksbrede kostensoorttabel.;;;;;;
;;;;;;
;;;;;;
Periode;Soort uitgaven;Algemene categorie;Specifieke categorie;College/Collegelid;Omschrijving;Bedrag
1-1-2014;Ontvangsten;Ontvangsten;Internationale projecten;;Project Kosovo;-28098,5
1-1-2014;Ontvangsten;Ontvangsten;Internationale projecten;;Project St. Maarten;-26626,4
1-1-2014;Personele uitgaven;Eigen personeel;Salaris, vakantie- en eindejaarsuitkering;;Ontvangst UWV januari;-11025,64
1-1-2014;Ontvangsten;Ontvangsten;Internationale projecten;;Peer review IJsland;-5818,9
1-1-2014;Ontvangsten;Ontvangsten;Overige ontvangsten;;Diversen;-4305
1-1-2014;Ontvangsten;Ontvangsten;Overige ontvangsten;;Diversen;-4060
1-1-2014;Materiele uitgaven;Diensten en middelen;Afvalzorgmanagement;;Afvalverwerking;-4034,14
1-1-2014;Ontvangsten;Ontvangsten;Internationale projecten;;Project Koeweit;-3000
1-1-2014;Materiele uitgaven;ICT;Spraak en Data verbindingen;;Vaste telefonie;-2443,75
1-1-2014;Ontvangsten;Ontvangsten;Internationale projecten;;Peer review IJsland;-2072,63
1-1-2014;Personele uitgaven;Eigen personeel;Reis- en verblijfskosten;;OV abonnementen;-2004,36
1-1-2014;Materiele uitgaven;Bijdrage Shared Service Organisatie;Uitvoeringsorganisatie Bedrijfsvoering Rijk;;Afrekening 2013;-1750
1-1-2014;Ontvangsten;Ontvangsten;Overige ontvangsten;;Diversen;-1446,7
1-1-2014;Personele uitgaven;Eigen personeel;Reis- en verblijfskosten;;OV abonnementen;-1412,24
1-1-2014;Ontvangsten;Ontvangsten;Overige ontvangsten;;Diversen;-1278,12
1-1-2014;Materiele uitgaven;ICT;Spraak en Data verbindingen;;Vaste telefonie;-1099,32
