;U I T G A V E N;;;;
Datum Boeking;Soort uitgaven ;Categorie ;Hoofdrubriek ;Omschrijving factuur ;Realisatie boeking 
1-1-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Abonnement;1.367,30
1-1-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Abonnement;10,60
11-1-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;News Portal;1.535,68
11-1-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;News Portal;183,32
11-1-16;Materiële uitgaven;uitbesteding;Spraak en data verbindingen;Abonnement;151,25
12-1-16;Materiële uitgaven;uitbesteding;Spraak en data verbindingen;Abonnement;151,25
12-1-16;Materiële uitgaven;uitbesteding;Spraak en data verbindingen;Abonnement;151,25
1-1-16;Materiële uitgaven;ICT;Beheer en onderhoud hardware;Database;6.125,36
1-1-16;Materiële uitgaven;ICT;Beheer en onderhoud hardware;Database;-6.125,36
11-1-16;Materiële uitgaven;ICT;Beheer en onderhoud hardware;Cloudserver;1.678,68
12-1-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Onderhoud;1.813,20
12-1-16;Materiële uitgaven;ICT;Beheer en onderhoud hardware;Beheer en onderhoud;536,94
12-1-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Onderhoud;381,02
12-1-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Hosting;60,40
11-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Cadeau eigen personeel;248,75
13-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Cadeau eigen personeel;99,50
13-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Viskar;133,04
20-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Lunch;103,90
