;U I T G A V E N;;;;
Datum Boeking;Soort uitgaven ;Categorie ;Hoofdrubriek ;Omschrijving factuur ;Realisatie boeking 
1-7-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT dienstverlening;Inhuur ICT advies;605,00
22-7-16;Materiële uitgaven;Diensten en middelen;Documentmanagement, documentonwikkeling en -verwerking;opmaak rapport;1.537,31
20-7-16;Materiële uitgaven;Communicatie;Diversen communicatie;ANP inzage;1.580,25
1-7-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;kantoorartikelen;30,25
6-7-16;Materiële uitgaven;uitbesteding;Beheer en Onderhoud hardware;onderhoud kopieerapparaat;791,27
13-7-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;aankoop boek;38,50
13-7-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;aankoop boek;38,50
7-7-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;aankoop boek;51,68
6-7-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;aankoop boek;114,20
13-7-16;Materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;286,33
20-7-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Infotrading;1.426,29
6-7-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;News Portal;183,32
20-7-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;News Portal;453,75
6-7-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;News Portal;1.535,68
1-7-16;Materiële uitgaven;uitbesteding;Spraak en Data Verbindingen;Telefoonkosten;80,51
1-7-16;Materiële uitgaven;uitbesteding;Spraak en Data Verbindingen;Telefoonkosten;754,63
1-7-16;Materiële uitgaven;uitbesteding;Beheer, onderhoud programmatuur en software;Onderhoud websites;363,00
1-7-16;Materiële uitgaven;uitbesteding;Beheer, onderhoud programmatuur en software;Onderhoud websites;726,00
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Consumpties tbv internationale gasten;20,66
6-7-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Borrel oplevering onderzoeksrapport;23,48
1-7-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Televisieabonnement;19,70
6-7-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Cadeaubonnen;12,20
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering  ;43,60
6-7-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Restaurant;58,39
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering  ;66,34
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering  ;116,21
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering  ;464,76
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering  ;513,68
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering  ;552,70
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering  ;866,51
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Machinekosten en ingrediënten koffie;1.508,76
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering  ;2.230,00
1-7-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering  ;3.173,41
1-7-16;Materiële uitgaven;uitbesteding;Beheer, onderhoud programmatuur en software;Onderhoud websites;269,23
5-7-16;Materiële uitgaven;Communicatie;Vertaaldiensten;Vertaling artikel;423,50
6-7-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Abonnement;345,00
1-7-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;Aanschaf hardware;565,05
17-8-16;personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;correctie salariskosten medewerker;2.104,87
10-8-16;Personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;correctie salariskosten juli 2016;29.298,75
10-8-16;Personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;correctie salariskosten juni 2016;37.732,59
31-8-16;Personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;bruto salaris augustus 2016;1.602.393,81
31-8-16;Personele uitgaven;Eigen Personeel;Gratificaties;gratificaties augustus 2016;2.695,18
10-8-16;Personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;correctie salariskosten juli 2016;8.286,95
17-8-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;18,15
3-8-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;5.345,05
10-8-16;personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;Uitkeringen;-6.699,17
16-8-16;personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;Uitkeringen;-2.190,01
24-8-16;Personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;Uitkeringen;1.454,74
1-8-16;Personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;Uitkeringen;1.571,10
1-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;896,77
1-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;896,77
1-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;999,94
1-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;999,94
3-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;999,94
10-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;999,94
17-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;999,94
10-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;1.149,98
17-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;1.149,98
10-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;1.256,46
24-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;1.256,46
3-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;1.282,60
17-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;1.282,60
24-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;2.565,20
1-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;2.979,71
11-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;3.841,99
1-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;4.268,88
10-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Creditnota Aan externe partij uitbestede ICT-dienstverlening;-8.305,44
1-8-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;creditnota beveiliging;-538,45
2-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;(maatwerk aanpassing)Watch;217,80
11-8-16;Personele uitgaven;Externe Inhuur;beleidsadvies en onderzoeksopdrachten;Inhuur Strategisch adviseur;399,30
23-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Workshop;430,00
1-8-16;Personele uitgaven;overige personeel;Aan externe partij uitbestede ICT-dienstverlening;Inhuur advies ICT;480,68
1-8-16;Materiële uitgaven;Communicatie;Vertaaldiensten;Vertaling;500,00
10-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;968,00
1-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur advies ICT;1.321,32
1-8-16;Materiële uitgaven;ICT;Beheer en onderhoud hardware;Cloudserver;1.678,68
10-8-16;Personele uitgaven;Externe Inhuur;beleidsadvies en onderzoeksopdrachten;Inhuur Strategisch adviseur;1.837,99
10-8-16;Personele uitgaven;externe inhuur;Accountancy, financiën en administratieve organisatie;Inhuur inkoopadvies;2.178,00
1-8-16;Personele uitgaven;externe inhuur;Accountancy, financiën en administratieve organisatie;Inhuur accountancy;2.916,62
1-8-16;Personele uitgaven;Externe Inhuur;Organisatie- en formatieadvies;Inhuur organisatie- en formatieadvies;3.267,00
1-8-16;Materiële uitgaven;ICT;Beheer, onderhoud programmatuur en software;Webapplicatie ;3.324,19
1-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;3.388,00
1-8-16;Materiële uitgaven;ICT;Aanschaf programmatuur en software;onderhoud software;3.490,85
1-8-16;Personele uitgaven;externe inhuur;Accountancy, financiën en administratieve organisatie;Inhuur accountancy;4.026,36
10-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;4.162,40
10-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;4.162,40
1-8-16;Personele uitgaven;externe inhuur;Accountancy, financiën en administratieve organisatie;Inhuur accountancy;5.481,30
1-8-16;personele uitgaven;overige personeel;Aan externe partij uitbestede ICT-dienstverlening;Inhuur advies ICT;6.547,00
10-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur advies ICT;8.305,44
10-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur advies ICT;8.305,44
10-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;8.324,80
10-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;8.324,80
24-8-16;personele uitgaven;Externe Inhuur;Organisatie- en formatieadvies;Inhuur organisatie- en formatieadvies;8.514,00
1-8-16;Materiële uitgaven;Bijdrage SSO;Bijdrage SSO;Dienstverlening P-Direkt;39.030,67
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;29,95
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Coaching;60,50
24-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Training;65,00
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Benodigdheden opleiding;138,44
24-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Benodigdheden opleiding;147,43
24-8-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Bol.Com aank.boeken W Bakker dd.16082016;210,06
24-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Herexamen opleiding;214,50
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Congres;235,95
3-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Congres;295,00
3-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Handboek tbv cursus;395,00
3-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Handboek tbv cursus;395,00
3-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Handboek tbv cursus;395,00
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Opleiding;473,69
24-8-16;personele uitgaven;Eigen Personeel;Vakliteratuur, abonnementen en overige informatie;Aanschaf boek;495,00
10-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Huur trainingsruimte;805,00
1-8-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Externe accommodatie;922,12
10-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Training;950,00
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Coaching;1.355,20
1-8-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Inhuur uitzendkracht;1.422,96
24-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Training;1.781,00
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Training;1.915,00
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Opleiding;2.200,00
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Opleiding;2.200,00
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Cursus;2.300,00
24-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Workshop;2.813,25
24-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Assesment;3.188,35
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Training;3.600,00
11-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Persoonlijke ontwikkeling;3.850,00
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Opleiding;4.650,00
24-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Persoonlijke ontwikkeling;5.801,95
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;8.621,25
1-8-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Begeleiding programma;10.345,50
10-8-16;personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;correctie salariskosten ;146,89
31-8-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Reiskosten binnenland;2.732,35
1-8-16;materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Externe accommodatie borrel;197,01
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;hotelkosten binnenland;384,90
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Creditnota buitenlandse dienstreis;-87,84
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Creditnota buitenlandse dienstreis;-78,00
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Creditnota buitenlandse dienstreis;-78,00
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Creditnota buitenlandse dienstreis;-78,00
31-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Luxemburg;111,76
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Noorwegen;126,20
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Noorwegen;126,20
31-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Luxemburg;207,88
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Hongarije;251,35
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Bosnië;302,89
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Hongarije;309,42
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Luxemburg;529,52
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis ;553,35
31-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Oostenrijk;583,43
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Oostenrijk;593,84
31-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Ghana;608,65
31-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Bulgarije;874,60
1-8-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Mexico;2.286,95
10-8-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;66,00
24-8-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;66,00
1-8-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;161,12
1-8-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;299,03
10-8-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;20.047,55
10-8-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;29.960,96
1-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Wifi Japan;72,00
1-8-16;personele uitgaven;Eigen Personeel;Personeelsevenementen, - bijeenkomsten en recepties;Diner afscheid medewerker;52,65
11-8-16;personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding internetaansluiting;62,50
1-8-16;personele uitgaven;Eigen Personeel;Personeelsevenementen, - bijeenkomsten en recepties;Borrel afscheid medewerker;497,50
1-8-16;personele uitgaven;Eigen Personeel;Personeelsevenementen, - bijeenkomsten en recepties;Diner ihkv Ambtsjubileum;898,45
1-8-16;personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Time-out;155,45
11-8-16;personele uitgaven;Eigen Personeel;Personeelsevenementen, - bijeenkomsten en recepties;Royal Ten Business run 10 km;307,40
11-8-16;personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Uitje afdeling;365,50
1-8-16;personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Uitje afdeling;1.000,95
1-8-16;Personele uitgaven;Eigen Personeel;Noodzakelijke contributies van personeel;Contributie;2.760,00
4-8-16;Personele uitgaven;Eigen Personeel;Instroom, doorstroom en uitstroom van personeel;VOG;41,35
4-8-16;Personele uitgaven;Eigen Personeel;Instroom, doorstroom en uitstroom van personeel;VOG;41,35
4-8-16;Personele uitgaven;Eigen Personeel;Instroom, doorstroom en uitstroom van personeel;VOG;41,35
10-8-16;Personele uitgaven;Eigen Personeel;Instroom, doorstroom en uitstroom van personeel;VOG;41,35
3-8-16;personele uitgaven;Inbesteding opdrachten;Arbeidsomstandigheden en personele zorg (incl. BHV middelen) ;Arbo kosten;9.355,80
10-8-16;materiële uitgaven;Huisvesting;Verbruik van energie en water;Creditnota Elektriciteit;-10.247,14
1-8-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;238,37
1-8-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;238,37
1-8-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;1.727,00
24-8-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit eindafrekening;1.966,72
24-8-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;3.657,37
1-8-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;5.590,69
10-8-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;12.159,04
1-8-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;15.862,68
24-8-16;Materiële uitgaven;Huisvesting;Verhuizen;Opslag  ;18,00
11-8-16;Materiële uitgaven;Huisvesting;Verhuizen;Transportkosten ivm einde bruikleen;310,00
1-8-16;Materiële uitgaven;Huisvesting;Verhuizen;Opslag  ;457,31
1-8-16;Materiële uitgaven;Huisvesting;Verhuizen;Opslag  ;1.232,00
1-8-16;Materiële uitgaven;Huisvesting;Verhuizen;Opslag  ;16,43
1-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;24,27
10-8-16;Personele uitgaven;Eigen Personeel;Arbeidsomstandigheden en personele zorg (incl. BHV middelen) ;BHV spullen ;62,73
1-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;66,16
10-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;109,20
1-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;129,47
1-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;261,36
11-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;266,20
1-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;389,00
10-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;439,93
3-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;697,29
1-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Advieskosten ICT;1.047,86
10-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;1.579,05
3-8-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;1.869,05
1-8-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Beveiligingskaarten;2.054,57
1-8-16;materiële uitgaven;uitbesteding;Afvalzorgmanagement;Creditnota afvalverwerking;-73,61
1-8-16;materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;18,11
1-8-16;materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;18,11
1-8-16;materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;18,11
3-8-16;materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;18,11
1-8-16;Materiële uitgaven;uitbesteding;Schoonmaken;Schoonmaakkosten;55,68
1-8-16;materiële uitgaven;uitbesteding;Afvalzorgmanagement;Afvalverwerking;310,67
1-8-16;Materiële uitgaven;Diensten en middelen;Schoonmaken;Schoonmaakkosten;918,70
24-8-16;materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;936,82
3-8-16;Materiële uitgaven;Diensten en middelen;Schoonmaken;Schoonmaakkosten;1.335,01
1-8-16;Materiële uitgaven;uitbesteding;Schoonmaken;Schoonmaakkosten;7.964,81
1-8-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Beveiliging  ;174,24
1-8-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Beveiliging  ;306,40
10-8-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Beveiliging  ;327,03
1-8-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Beveiliging  ;3.257,04
10-8-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Beveiliging  ;3.257,04
1-8-16;materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Creditnota Koerierkosten;-1.402,62
10-8-16;Materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Koerierkosten;378,50
1-8-16;Materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Koerierkosten;1.410,04
10-8-16;Materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Koerierkosten;1.885,80
10-8-16;Materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Koerierkosten;2.308,03
1-8-16;materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Creditnota Koerierkosten;-75,13
1-8-16;materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Creditnota Koerierkosten;-26,34
1-8-16;Materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Koerierkosten;136,17
1-8-16;Materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Koerierkosten;184,96
10-8-16;Materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Koerierkosten;196,69
1-8-16;Materiële uitgaven;Diensten en middelen;Post-, Koeriers- en transportdiensten;Koerierkosten;296,58
11-8-16;Materiële uitgaven;Inbesteding opdrachten;Post-, Koeriers- en transportdiensten;Koerierkosten;655,64
1-8-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;Visitekaartjes;15,13
17-8-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;Visitekaartjes;30,25
11-8-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;aanschaf kantoorbenodigdheden;160,12
10-8-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;aanschaf kantoorbenodigdheden;205,26
10-8-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;aanschaf kantoorbenodigdheden;341,68
24-8-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;aanschaf papier;66,07
1-8-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;aanschaf papier;459,10
1-8-16;materiële uitgaven;Diensten en middelen;Beheer en onderhoud hardware;onderhoud kopieerapparaat;-4.775,00
11-8-16;Materiële uitgaven;Diensten en middelen;Beheer en onderhoud hardware;onderhoud kopieerapparaat;218,79
1-8-16;Materiële uitgaven;Diensten en middelen;Beheer en onderhoud hardware;onderhoud kopieerapparaat;2.855,60
1-8-16;Materiële uitgaven;Diensten en middelen;Beheer en onderhoud hardware;onderhoud kopieerapparaat;9.550,00
1-8-16;materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Creditnota aanschaf boeken;-660,00
1-8-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;aanschaf boek;23,80
3-8-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;aanschaf boek;909,55
1-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;36,30
24-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;36,30
24-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;81,13
1-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;148,45
1-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;151,25
1-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;151,25
24-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;756,70
10-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;944,49
1-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;1.121,16
1-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;1.755,71
10-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;1.755,71
1-8-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;3.369,47
10-8-16;Materiële uitgaven;uitbesteding;Aanschaf programmatuur & software;Licensies;63,53
11-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Hosting;156,09
1-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Onderhoud zelfrapportagesysteem;340,31
10-8-16;Materiële uitgaven;ICT;Aanschaf programmatuur & software;Licensies;1.497,38
3-8-16;Materiële uitgaven;ICT;Beheer en onderhoud hardware;Cloudserver;1.678,68
1-8-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Onderhoud zelfrapportagesysteem;1.701,56
1-8-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Beveiliging;1.710,94
